datetime,foo
2013-06-01,61.1
2013-07-01,342.8
2013-08-01,386.4
2013-09-01,220.9
2013-10-01,8.3
2013-11-01,39.9
2013-12-01,0.3
2014-01-01,0.0
2014-02-01,0.2
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,15.9
2014-07-01,271.5
2014-08-01,456.4
2014-09-01,157.5
2014-10-01,2.4
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.1
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.1
2015-05-01,0.0
2015-06-01,32.4
2015-07-01,162.1
2015-08-01,205.4
2015-09-01,247.3
2015-10-01,4.6
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,1.1
2016-03-01,0.1
2016-04-01,5.6
2016-05-01,0.0
2016-06-01,168.2
2016-07-01,454.2
2016-08-01,238.1
2016-09-01,323.3
2016-10-01,59.9
2016-11-01,0.1
2016-12-01,0.0
2017-01-01,7.5
2017-02-01,0.2
2017-03-01,0.2
2017-04-01,1.0
2017-05-01,1.3
2017-06-01,12.2
2017-07-01,341.8
2017-08-01,154.5
2017-09-01,268.6
2017-10-01,3.5
2017-11-01,1.5
2017-12-01,0.0
