,Time,Discharge
661,20-01-1975 ,848.7230000000001
662,21-01-1975 ,840.7330000000001
663,22-01-1975 ,956.155
664,23-01-1975 ,1178.117
665,24-01-1975 ,1265.7169999999999
666,25-01-1975 ,1530.726
667,26-01-1975 ,1623.7520000000002
668,27-01-1975 ,1488.0
669,28-01-1975 ,1424.707
670,29-01-1975 ,1265.741
671,30-01-1975 ,1223.89
672,31-01-1975 ,1234.377
673,01-01-1976 ,1024.315
674,02-01-1976 ,1067.32
675,03-01-1976 ,991.673
676,04-01-1976 ,957.535
677,05-01-1976 ,974.2739999999999
678,06-01-1976 ,1756.2620000000002
679,07-01-1976 ,2134.794
680,08-01-1976 ,1534.26
681,09-01-1976 ,1369.499
682,10-01-1976 ,1375.745
683,11-01-1976 ,1374.1589999999999
684,12-01-1976 ,1388.914
685,13-01-1976 ,1132.437
686,14-01-1976 ,845.258
687,15-01-1976 ,933.185
688,16-01-1976 ,1006.4
689,17-01-1976 ,1031.306
690,18-01-1976 ,1132.451
691,19-01-1976 ,1183.565
692,20-01-1976 ,1197.353
693,21-01-1976 ,1351.567
694,22-01-1976 ,5798.9490000000005
695,23-01-1976 ,37108.466
696,24-01-1976 ,49479.867999999995
697,25-01-1976 ,32740.965
698,26-01-1976 ,16565.332
699,27-01-1976 ,11856.533000000001
700,28-01-1976 ,9655.644
701,29-01-1976 ,7577.146
702,30-01-1976 ,3934.522
703,31-01-1976 ,1833.0120000000002
704,01-01-1977 ,808.318
705,02-01-1977 ,802.2769999999999
706,03-01-1977 ,816.164
707,04-01-1977 ,815.373
708,05-01-1977 ,1142.619
709,06-01-1977 ,1191.295
710,07-01-1977 ,1154.61
711,08-01-1977 ,1152.987
712,09-01-1977 ,1150.685
713,10-01-1977 ,1146.195
714,11-01-1977 ,1170.21
715,12-01-1977 ,1293.622
716,13-01-1977 ,1345.306
717,14-01-1977 ,1379.682
718,15-01-1977 ,1857.431
719,16-01-1977 ,1717.72
720,17-01-1977 ,1707.0729999999999
721,18-01-1977 ,1502.908
722,19-01-1977 ,1449.933
723,20-01-1977 ,1383.1989999999998
724,21-01-1977 ,1239.577
725,22-01-1977 ,1214.472
726,23-01-1977 ,1238.045
727,24-01-1977 ,1235.319
728,25-01-1977 ,1227.2910000000002
729,26-01-1977 ,1221.7069999999999
730,27-01-1977 ,1313.5079999999998
731,28-01-1977 ,1345.309
732,29-01-1977 ,1283.231
733,30-01-1977 ,1261.507
734,31-01-1977 ,1251.518
735,01-01-1978 ,2934.015
736,02-01-1978 ,2957.98
737,03-01-1978 ,2949.427
738,04-01-1978 ,2922.171
739,05-01-1978 ,2387.308
740,06-01-1978 ,2102.33
741,07-01-1978 ,1373.5720000000001
742,08-01-1978 ,1076.013
743,09-01-1978 ,1056.463
744,10-01-1978 ,1166.345
745,11-01-1978 ,1173.33
746,12-01-1978 ,1179.095
747,13-01-1978 ,1334.235
748,14-01-1978 ,1382.31
749,15-01-1978 ,1382.5639999999999
750,16-01-1978 ,1390.9589999999998
751,17-01-1978 ,1538.025
752,18-01-1978 ,1654.4560000000001
753,19-01-1978 ,1192.633
754,20-01-1978 ,515.991
755,21-01-1978 ,629.244
756,22-01-1978 ,962.201
757,23-01-1978 ,1131.869
758,24-01-1978 ,2284.334
759,25-01-1978 ,6924.811
760,26-01-1978 ,1729.875
761,27-01-1978 ,933.23
762,28-01-1978 ,5767.812
763,29-01-1978 ,11205.833999999999
764,30-01-1978 ,6628.868
765,31-01-1978 ,4075.9309999999996
766,01-01-1979 ,1027.246
767,02-01-1979 ,1011.137
768,03-01-1979 ,865.615
769,04-01-1979 ,806.84
770,05-01-1979 ,970.1469999999999
771,06-01-1979 ,1082.893
772,07-01-1979 ,1075.47
773,08-01-1979 ,1073.0
774,09-01-1979 ,2115.494
775,10-01-1979 ,2395.901
776,11-01-1979 ,2314.413
777,12-01-1979 ,2291.337
778,13-01-1979 ,2173.377
779,14-01-1979 ,2235.37
780,15-01-1979 ,2227.527
781,16-01-1979 ,2025.9979999999998
782,17-01-1979 ,1903.3629999999998
783,18-01-1979 ,1825.457
784,19-01-1979 ,1711.3770000000002
785,20-01-1979 ,1601.8729999999998
786,21-01-1979 ,1550.915
787,22-01-1979 ,1551.4270000000001
788,23-01-1979 ,1492.715
789,24-01-1979 ,1526.2379999999998
790,25-01-1979 ,1620.261
791,26-01-1979 ,1906.6370000000002
792,27-01-1979 ,1972.54
793,28-01-1979 ,2002.4360000000001
794,29-01-1979 ,2016.5279999999998
795,30-01-1979 ,2019.378
796,31-01-1979 ,1817.2320000000002
797,01-01-1980 ,2518.989
798,02-01-1980 ,2541.616
799,03-01-1980 ,2549.646
